RECID=R2012111530000002	一	yī
RECID=R2012111530011240	伴驾	bàn jià
RECID=R2012111530011241	伴奏	bàn zòu
RECID=R2012111530011242	伴种	bàn zhòng
RECID=R2012111530011243	伴音	bàn yīn
RECID=R2012111530011244	伴读	bàn dú
RECID=R2012111530011245	伴娘	bàn niáng
RECID=R2012111530011246	伴宿	bàn sù
RECID=R2012111530011247	伴随	bàn suí
RECID=R2012111530011248	伴跑	bàn pǎo
RECID=R2012111530011249	伴舞	bàn wǔ
RECID=R2012111530011250	佗	
RECID=R2012111530011251	伺	sì
RECID=R2012111530011252	伺机	sì jī
RECID=R2012111530011253	伺隙	sì xì
RECID=R2012111530011254	伺察	sì chá
RECID=R2012111530011255	伺	cì
RECID=R2012111530011256	伺候	cì hou
RECID=R2012111530011257	伲	nì
RECID=R2012111530011258	佛	fó
RECID=R2012111530011259	佛门	fó mén
RECID=R2012111530011260	佛子	fó zǐ
RECID=R2012111530011261	佛历	fó lì
RECID=R2012111530011262	佛牙	fó yá
RECID=R2012111530011263	佛牙舍利	fó yá shè lì
RECID=R2012111530011264	佛手	fó shǒu
RECID=R2012111530011265	佛手瓜	fó shǒu guā
RECID=R2012111530011266	佛手柑	fó shǒu gān
RECID=R2012111530011267	佛气	fó qì
RECID=R2012111530011268	佛号	fó hào
RECID=R2012111530011269	佛头石	fó tóu shí
RECID=R2012111530011270	佛头着粪	fó tóu zhuó fèn
RECID=R2012111530011271	佛寺	fó sì
RECID=R2012111530011272	佛老	fó lǎo
RECID=R2012111530011273	佛场	fó chǎng
RECID=R2012111530011274	佛光	fó guāng
RECID=R2012111530011275	佛爷	fó ye
RECID=R2012111530011276	佛欢喜日	fó huān xǐ rì
RECID=R2012111530011277	佛坛	fó tán
RECID=R2012111530011278	佛弟子	fó dì zǐ
RECID=R2012111530011279	佛陀	fó tuó
RECID=R2012111530011280	佛画	fó huà
RECID=R2012111530011281	佛事	fó shì
RECID=R2012111530011282	佛典	fó diǎn
RECID=R2012111530011283	佛法	fó fǎ
RECID=R2012111530011284	佛法僧	fó fǎ sēng
RECID=R2012111530011285	佛学	fó xué
RECID=R2012111530011286	佛经	fó jīng
RECID=R2012111530011287	佛要金装，人要衣装	fó yào jīn zhuāng rén yào yī
RECID=R2012111530011288	佛面	fó miàn
RECID=R2012111530011289	佛面竹	fó miàn zhú
RECID=R2012111530011290	佛珠	fó zhū
RECID=R2012111530011291	佛家	fó jiā
RECID=R2012111530011292	佛桑	fó sāng
RECID=R2012111530011293	佛教	fó jiào
RECID=R2012111530011294	佛教徒	fó jiào tú
RECID=R2012111530011295	佛堂	fó táng
RECID=R2012111530011296	佛眼佛心	fó yǎn fó xīn
RECID=R2012111530011297	佛龛	fó kān
RECID=R2012111530011298	佛像	fó xiàng
RECID=R2012111530011299	佛窟	fó kū
RECID=R2012111530011300	佛殿	fó diàn
RECID=R2012111530011301	佛藏	fó zàng
RECID=R2012111530011302	佛	fú
RECID=R2012111530011303	伽	qié
RECID=R2012111530011304	伽南香	qié nán xiāng
RECID=R2012111530011305	伽蓝	qié lán
RECID=R2012111530011306	伽	jiā
RECID=R2012111530011307	伽利略望远镜	jiā lì lüè wàng yuǎn jìng
RECID=R2012111530011308	伽倻琴	jiā yē qín
RECID=R2012111530011309	伽	gā
RECID=R2012111530011310	伽马射线	gā mǎ shè xiàn
RECID=R2012111530011311	佘	shé
RECID=R2012111530011312	佘太君	shé tài jūn
RECID=R2012111530011313	余	yú
RECID=R2012111530011314	余	yú
RECID=R2012111530011315	余力	yú lì
RECID=R2012111530011316	余下	yú xià
RECID=R2012111530011317	余子	yú zǐ
RECID=R2012111530011318	余子碌碌	yú zǐ lù lù
RECID=R2012111530011319	余切	yú qiē
RECID=R2012111530011320	余风	yú fēng
RECID=R2012111530011321	余火	yú huǒ
RECID=R2012111530011322	余末	yú mò
RECID=R2012111530011323	余甘子	yú gān zǐ
RECID=R2012111530011324	余生	yú shēng
RECID=R2012111530011325	余外	yú wài
RECID=R2012111530011326	余地	yú dì
RECID=R2012111530011327	余存	yú cún
RECID=R2012111530011328	余光	yú guāng
RECID=R2012111530011329	余年	yú nián
RECID=R2012111530011330	余色	yú sè
RECID=R2012111530011331	余庆	yú qìng
RECID=R2012111530011332	余兴	yú xìng
RECID=R2012111530011333	余芳	yú fāng
RECID=R2012111530011334	余步	yú bù
RECID=R2012111530011335	余财	yú cái
RECID=R2012111530011336	余利	yú lì
RECID=R2012111530011337	余角	yú jiǎo
RECID=R2012111530011338	余闲	yú xián
RECID=R2012111530011339	余沥	yú lì
RECID=R2012111530011340	余势	yú shì
RECID=R2012111530011341	余事	yú shì
RECID=R2012111530011342	余味	yú wèi
RECID=R2012111530011343	余物	yú wù
RECID=R2012111530011344	余炎	yú yán
RECID=R2012111530011345	余波	yú bō
RECID=R2012111530011346	余空	yú kòng
RECID=R2012111530011347	余弦	yú xián
RECID=R2012111530011348	余毒	yú dú
RECID=R2012111530011349	余荫	yú yìn
RECID=R2012111530011350	余威	yú wēi
RECID=R2012111530011351	余香	yú xiāng
RECID=R2012111530011352	余姿	yú zī
RECID=R2012111530011353	余音	yú yīn
RECID=R2012111530011354	余音绕梁	yú yīn rào liáng
RECID=R2012111530011355	余恸	yú tòng
RECID=R2012111530011356	余恨	yú hèn
RECID=R2012111530011357	余姚腔	yú yáo qiāng
RECID=R2012111530011358	余怒	yú nù
RECID=R2012111530011359	余勇可贾	yú yǒng kě gǔ
RECID=R2012111530011360	余热	yú rè
RECID=R2012111530011361	余烈	yú liè
RECID=R2012111530011362	余党	yú dǎng
RECID=R2012111530011363	余晖	yú huī
RECID=R2012111530011364	余钱	yú qián
RECID=R2012111530011365	余留	yú liú
RECID=R2012111530011366	余病	yú bìng
RECID=R2012111530011367	余烬	yú jìn
RECID=R2012111530011368	余谈	yú tán
RECID=R2012111530011369	余唾	yú tuò
RECID=R2012111530011370	余痕	yú hén
RECID=R2012111530011371	余悸	yú jì
RECID=R2012111530011372	余绪	yú xù
RECID=R2012111530011373	余款	yú kuǎn
RECID=R2012111530011374	余辜	yú gū
RECID=R2012111530011375	余悲	yú bēi
RECID=R2012111530011376	余辉	yú huī
RECID=R2012111530011377	余量	yú liàng
RECID=R2012111530011378	余幅	yú fú
RECID=R2012111530011379	余剩	yú shèng
RECID=R2012111530011380	余痛	yú tòng
RECID=R2012111530011381	余割	yúgē
RECID=R2012111530011382	余寒	yú hán
RECID=R2012111530011383	余裕	yú yù
RECID=R2012111530011384	余暇	yú xiá
RECID=R2012111530011385	余韵	yú yùn
RECID=R2012111530011386	余粮	yú liáng
RECID=R2012111530011387	余数	yú shù
RECID=R2012111530011388	余酲	yú chéng
RECID=R2012111530011389	余蕴	yú yùn
RECID=R2012111530011390	余震	yú zhèn
RECID=R2012111530011391	余额	yú é
RECID=R2012111530011392	余孽	yú niè
RECID=R2012111530011393	佥	qiān
RECID=R2012111530011394	佥事	qiān shì
RECID=R2012111530011395	㑌	kuāng
RECID=R2012111530011396	㑌儴	kuāng ráng
RECID=R2012111530011397	佳	jiā
RECID=R2012111530011398	佳人	jiā rén
RECID=R2012111530011399	佳木	jiā mù
RECID=R2012111530011400	佳日	jiā rì
RECID=R2012111530011401	佳气	jiā qì
RECID=R2012111530011402	佳文	jiā wén
RECID=R2012111530011403	佳节	jiā jié
RECID=R2012111530011404	佳句	jiā jù
RECID=R2012111530011405	佳处	jiā chù
RECID=R2012111530011406	佳丽	jiā lì
RECID=R2012111530011407	佳作	jiā zuò
RECID=R2012111530011408	佳良	jiā liáng
RECID=R2012111530011409	佳妙	jiā miào
RECID=R2012111530011410	佳构	jiā gòu
RECID=R2012111530011411	佳味	jiā wèi
RECID=R2012111530011412	佳制	jiā zhì
RECID=R2012111530011413	佳肴	jiā yáo
RECID=R2012111530011414	佳话	jiā huà
RECID=R2012111530011415	佳品	jiā pǐn
RECID=R2012111530011416	佳胜	jiā shèng
RECID=R2012111530011417	佳音	jiā yīn
RECID=R2012111530011418	佳宾	jiā bīn
RECID=R2012111530011419	佳偶	jiā ǒu
RECID=R2012111530011420	佳期	jiā qī
RECID=R2012111530011421	佳境	jiā jìng
RECID=R2012111530011422	佳酿	jiā niàng
RECID=R2012111530011423	侍	shì
RECID=R2012111530011424	侍儿	shì ér
RECID=R2012111530011425	侍卫	shì wèi
RECID=R2012111530011426	侍卫官	shì wèi guān
RECID=R2012111530011427	侍女	shì nǚ
RECID=R2012111530011428	侍从	shì cóng
RECID=R2012111530011429	侍立	shì lì
RECID=R2012111530011430	侍弄	shì nòng
RECID=R2012111530011431	侍护	shì hù
RECID=R2012111530011432	侍役	shì yì
RECID=R2012111530011433	侍应生	shì yìng shēng
RECID=R2012111530011434	侍奉	shì fèng
RECID=R2012111530011435	侍者	shì zhě
RECID=R2012111530011436	侍妾	shì qiè
RECID=R2012111530011437	侍郎	shì láng
RECID=R2012111530011438	侍养	shì yǎng
RECID=R2012111530011439	侍候	shì hòu
RECID=R2012111530011440	侍姬	shì jī
RECID=R2012111530011441	佶	jí
RECID=R2012111530011442	佶屈	jí qū
RECID=R2012111530011443	佶屈聱牙	jí qū áo yá
RECID=R2012111530011444	佬	lǎo
RECID=R2012111530011445	佬佬	lǎo lao
RECID=R2012111530011446	佴	èr
RECID=R2012111530011447	佴	nài
RECID=R2012111530011448	供	gōng
RECID=R2012111530011449	供不应求	gōng bù yìng qiú
RECID=R2012111530011450	供求	gōng qiú
RECID=R2012111530011451	供应	gōng yìng
RECID=R2012111530011452	供应舰	gōng yìng jiàn
RECID=R2012111530011453	供养	gōng yǎng
RECID=R2012111530011454	供济	gōng jì
RECID=R2012111530011455	供给	gōng jǐ
RECID=R2012111530011456	供给制	gōng jǐ zhì
RECID=R2012111530011457	供销	gōng xiāo
RECID=R2012111530011458	供销合作社	gōng xiāo hé zuò shè
RECID=R2012111530011459	供销社	gōng xiāo shè
RECID=R2012111530011460	供暖	gōng nuǎn
RECID=R2012111530011461	供需	gōng xū
RECID=R2012111530011462	供稿	gōng gǎo
RECID=R2012111530011463	供	gòng
RECID=R2012111530011464	供认	gòng rèn
RECID=R2012111530011465	供礼	gòng lǐ
RECID=R2012111530011466	供状	gòng zhuàng
RECID=R2012111530011467	供词	gòng cí
RECID=R2012111530011468	供祀	gòng sì
RECID=R2012111530011469	供奉	gòng fèng
RECID=R2012111530011470	供物	gòng wù
RECID=R2012111530011471	供享	gòng xiǎng
RECID=R2012111530011472	供品	gòng pǐn
RECID=R2012111530011473	供养	gòng yǎng
RECID=R2012111530011474	供桌	gòng zhuō
RECID=R2012111530011475	供称	gòng chēng
RECID=R2012111530011476	供职	gòng zhí
RECID=R2012111530011477	供祭	gòng jì
RECID=R2012111530011478	供飨	gòng xiǎng
RECID=R2012111530011479	供献	gòng xiàn
RECID=R2012111530011480	供器	gòng qì
RECID=R2012111530011481	使	shǐ
RECID=R2012111530011482	使人	shǐ rén
RECID=R2012111530011483	使刁	shǐ diāo
RECID=R2012111530011484	使小性儿	shǐ xiǎo xìngr
RECID=R2012111530011485	使不得	shǐ bu de
RECID=R2012111530011486	使巧	shǐ qiǎo
RECID=R2012111530011487	使节	shǐ jié
RECID=R2012111530011488	使用	shǐ yòng
RECID=R2012111530011489	使用权	shǐ yòng quán
RECID=R2012111530011490	使用价值	shǐ yòng jià zhí
RECID=R2012111530011491	使用面积	shǐ yòng miàn jī
RECID=R2012111530011492	使团	shǐ tuán
RECID=R2012111530011493	使妈	shǐ mā
RECID=R2012111530011494	使坏	shǐ huài
RECID=R2012111530011495	使帐	shǐ zhàng
RECID=R2012111530011496	使君子	shǐ jūn zǐ
RECID=R2012111530011497	使劲	shǐ jìn
RECID=R2012111530011498	使者	shǐ zhě
RECID=R2012111530011499	使佯	shǐ yáng
RECID=R2012111530011500	使命	shǐ mìng
RECID=R2012111530011501	使法	shǐ fǎ
RECID=R2012111530011502	使性	shǐ xìng
RECID=R2012111530011503	使性子	shǐ xìng zi
RECID=R2012111530011504	使绊子	shǐ bàn zi
RECID=R2012111530011505	使费	shǐ fèi
RECID=R2012111530011506	使换	shǐ huan
RECID=R2012111530011507	使恶	shǐ è
RECID=R2012111530011508	使唤	shǐ huan
RECID=R2012111530011509	使徒	shǐ tú
RECID=R2012111530011510	使眼色	shǐ yǎn sè
RECID=R2012111530011511	使得	shǐ de
RECID=R2012111530011512	使馆	shǐ guǎn
RECID=R2012111530011513	使婢	shǐ bì
RECID=R2012111530011514	使腔	shǐ qiāng
RECID=R2012111530011515	使然	shǐ rán
RECID=R2012111530011516	使强	shǐ qiáng
RECID=R2012111530011517	使遣	shǐ qiǎn
RECID=R2012111530011518	使嗾	shǐ sǒu
RECID=R2012111530011519	佰	bǎi
RECID=R2012111530011520	侑	yòu
RECID=R2012111530011521	侑酒	yòu jiǔ
RECID=R2012111530011522	侉	kuǎ
RECID=R2012111530011523	侉子	kuǎ zi
RECID=R2012111530011524	侉戏	kuǎ xì
RECID=R2012111530011525	侉声野气	kuǎ shēng yě qì
RECID=R2012111530011526	侉饼	kuǎ bǐng
RECID=R2012111530011527	例	lì
RECID=R2012111530011528	例子	lì zi
RECID=R2012111530011529	例句	lì jù
RECID=R2012111530011530	例外	lì wài
RECID=R2012111530011531	例行	lì xíng
RECID=R2012111530011532	例行公事	lì xíng gōng shì
RECID=R2012111530011533	例行差事	lì xíng chāi shì
RECID=R2012111530011534	例会	lì huì
RECID=R2012111530011535	例如	lì rú
RECID=R2012111530011536	例言	lì yán
RECID=R2012111530011537	例证	lì zhèng
RECID=R2012111530011538	例规	lì guī
RECID=R2012111530011539	例话	lì huà
RECID=R2012111530011540	例举	lì jǔ
RECID=R2012111530011541	例假	lì jià
RECID=R2012111530011542	例章	lì zhāng
RECID=R2012111530011543	例题	lì tí
RECID=R2012111530011544	侠	xiá
RECID=R2012111530011545	侠士	xiá shì
RECID=R2012111530011546	侠义	xiá yì
RECID=R2012111530011547	侠女	xiá nǚ
RECID=R2012111530011548	侠气	xiá qì
RECID=R2012111530011549	侠肝义胆	xiá gān yì dǎn
RECID=R2012111530011550	侠骨	xiá gǔ
RECID=R2012111530011551	侠客	xiá kè
RECID=R2012111530011552	侠情	xiá qíng
RECID=R2012111530011553	侥	jiǎo
RECID=R2012111530011554	侥幸	jiǎo xìng
RECID=R2012111530011555	侥	yáo
RECID=R2012111530011556	侄	zhí
RECID=R2012111530011557	侄子	zhí zi
RECID=R2012111530011558	侄女	zhí nǚ
RECID=R2012111530011559	侄女婿	zhí nǚ xu
RECID=R2012111530011560	侄孙女	zhí sūn nǚ
RECID=R2012111530011561	侄媳妇	zhí xí fu
RECID=R2012111530011562	侦	zhēn
RECID=R2012111530011563	侦伺	zhēn sì
RECID=R2012111530011564	侦刺	zhēn cì
RECID=R2012111530011565	侦知	zhēn zhī
RECID=R2012111530011566	侦查	zhēn chá
RECID=R2012111530011567	侦破	zhēn pò
RECID=R2012111530011568	侦探	zhēn tàn
RECID=R2012111530011569	侦探片	zhēn tàn piàn
RECID=R2012111530011570	侦骑	zhēn qí
RECID=R2012111530011571	侦缉	zhēn jī
RECID=R2012111530011572	侦缉队	zhēn jī duì
RECID=R2012111530011573	侦察	zhēn chá
RECID=R2012111530011574	侦察卫星	zhēn chá wèi xīng
RECID=R2012111530011575	侦察机	zhēn chá jī
RECID=R2012111530011576	侦察员	zhēn chá yuán
RECID=R2012111530011577	侦察兵	zhēn chá bīng
RECID=R2012111530011578	侣	lǚ
RECID=R2012111530011579	侣伴	lǚ bàn
RECID=R2012111530011580	侗	tóng
RECID=R2012111530011581	侗	dòng
RECID=R2012111530011582	侗戏	dòng xì
RECID=R2012111530011583	侗族	dòng zú
RECID=R2012111530011584	侗族大歌	dòng zú dà gē
RECID=R2012111530011585	侗	tǒng
RECID=R2012111530011586	侃	kǎn
RECID=R2012111530011587	侃儿	kǎnr
RECID=R2012111530011588	侃大山	kǎn dà shān
RECID=R2012111530011589	侃快	kǎn kuài
RECID=R2012111530011590	侃侃	kǎn kǎn
RECID=R2012111530011591	侃侃而谈	kǎn kǎn ér tán
RECID=R2012111530011592	侃侃谔谔	kǎn kǎn è è
RECID=R2012111530011593	侧	cè
RECID=R2012111530011594	侧刀	cè dāo
RECID=R2012111530011595	侧门	cè mén
RECID=R2012111530011596	侧击	cè jī
RECID=R2012111530011597	侧目	cè mù
RECID=R2012111530011598	侧记	cè jì
RECID=R2012111530011599	侧边	cè biān
RECID=R2012111530011600	侧耳	cè ěr
RECID=R2012111530011601	侧芽	cè yá
RECID=R2012111530011602	侧身	cè shēn
RECID=R2012111530011603	侧近	cè jìn
RECID=R2012111530011604	侧枝	cè zhī
RECID=R2012111530011605	侧泳	cè yǒng
RECID=R2012111530011606	侧柏	cè bǎi
RECID=R2012111530011607	侧歪	cè wāi
RECID=R2012111530011608	侧面	cè miàn
RECID=R2012111530011609	侧背	cè bèi
RECID=R2012111530011610	侧重	cè zhòng
RECID=R2012111530011611	侧脉	cè mài
RECID=R2012111530011612	侧闻	cè wén
RECID=R2012111530011613	侧首	cè shǒu
RECID=R2012111530011614	侧室	cè shì
RECID=R2012111530011615	侧扁	cè biǎn
RECID=R2012111530011616	侧根	cè gēn
RECID=R2012111530011617	侧笔	cè bǐ
RECID=R2012111530011618	侧锋	cè fēng
RECID=R2012111530011619	侧影	cè yǐng
RECID=R2012111530011620	侧翼	cè yì
RECID=R2012111530011621	侧	zè
RECID=R2012111530011622	侧	zhāi
RECID=R2012111530011623	侧不楞	zhāi bu leng
RECID=R2012111530011624	侧不棱	zhāi bu leng
RECID=R2012111530011625	侧巴楞	zhāi ba leng
RECID=R2012111530011626	侧歪	zhāi wāi
RECID=R2012111530011627	侧棱	zhāi leng
RECID=R2012111530011628	侏	zhū
RECID=R2012111530011629	侏罗纪	zhū luó jì
RECID=R2012111530011630	侏儒	zhū rú
RECID=R2012111530011631	侏儒症	zhū rú zhèng
RECID=R2012111530011632	侁	shēn
RECID=R2012111530011633	侁侁	shēn shēn
RECID=R2012111530011634	侹	tǐng
RECID=R2012111530011635	侨	qiáo
RECID=R2012111530011636	侨工	qiáo gōng
RECID=R2012111530011637	侨乡	qiáo xiāng
RECID=R2012111530011638	侨务	qiáo wù
RECID=R2012111530011639	侨汇	qiáo huì
RECID=R2012111530011640	侨民	qiáo mín
RECID=R2012111530011641	侨居	qiáo jū
RECID=R2012111530011642	侨胞	qiáo bāo
RECID=R2012111530011643	侨眷	qiáo juàn
RECID=R2012111530011644	侨寓	qiáo yù
RECID=R2012111530011645	侜	zhōu
RECID=R2012111530011646	侜张为幻	zhōu zhāng wéi huàn
RECID=R2012111530011647	佺	quán
RECID=R2012111530011648	侩	kuài
RECID=R2012111530011649	佮	gé
RECID=R2012111530011650	佻	tiāo
RECID=R2012111530011651	佻巧	tiāo qiǎo
RECID=R2012111530011652	佻达	tiāo tà
RECID=R2012111530011653	佻𠉂	tiāo tà
RECID=R2012111530011654	佻薄	tiāo bó
RECID=R2012111530011655	佻	tiáo
RECID=R2012111530011656	佻皮	tiáo pí
RECID=R2012111530011657	佾	yì
RECID=R2012111530011658	佩	pèi
RECID=R2012111530011659	佩仰	pèi yǎng
RECID=R2012111530011660	佩服	pèi fú
RECID=R2012111530011661	佩带	pèi dài
RECID=R2012111530011662	佩剑	pèi jiàn
RECID=R2012111530011663	佩章	pèi zhāng
RECID=R2012111530011664	佩绶	pèi shòu
RECID=R2012111530011665	佩慰	pèi wèi
RECID=R2012111530011666	佩戴	pèi dài
RECID=R2012111530011667	佹	guǐ
RECID=R2012111530011668	佹异	guǐ yì
RECID=R2012111530011669	佫	hè
RECID=R2012111530011670	侈	chǐ
RECID=R2012111530011671	侈大	chǐ dà
RECID=R2012111530011672	侈心	chǐ xīn
RECID=R2012111530011673	侈丽闳衍	chǐ lì hóng yǎn
RECID=R2012111530011674	侈言	chǐ yán
RECID=R2012111530011675	侈侈不休	chǐ chǐ bù xiū
RECID=R2012111530011676	侈说	chǐ shuō
RECID=R2012111530011677	侈谈	chǐ tán
RECID=R2012111530011678	侈靡	chǐ mí
RECID=R2012111530011679	侂	tuō
RECID=R2012111530011680	侂生	tuō shēng
RECID=R2012111530011681	侪	chái
RECID=R2012111530011682	侪民	chái mín
RECID=R2012111530011683	侪伍	chái wǔ
RECID=R2012111530011684	侪偶	chái ǒu
RECID=R2012111530011685	侪辈	chái bèi
RECID=R2012111530011686	侪属	chái shǔ
RECID=R2012111530011687	佼	jiǎo
RECID=R2012111530011688	佼好	jiǎo hǎo
RECID=R2012111530011689	佼佼	jiǎo jiǎo
RECID=R2012111530011690	依	yī
RECID=R2012111530011691	依人	yī rén
RECID=R2012111530011692	依人篱下	yī rén lí xià
RECID=R2012111530011693	依山傍水	yī shān bàng shuǐ
RECID=R2012111530011694	依从	yī cóng
RECID=R2012111530011695	依心	yī xīn
RECID=R2012111530011696	依旧	yī jiù
RECID=R2012111530011697	依归	yī guī
RECID=R2012111530011698	依仗	yī zhàng
RECID=R2012111530011699	依兰香	yī lán xiāng
RECID=R2012111530011700	依头顺脑	yī tóu shùn nǎo
RECID=R2012111530011701	依托	yī tuō
RECID=R2012111530011702	依存	yī cún
RECID=R2012111530011703	依次	yī cì
RECID=R2012111530011704	依约	yī yuē
RECID=R2012111530011705	依玛堪	yī mǎ kān
